species	family	plumage_qual	mass1 (unless otherwise noted)	nest_cat	time_nest	lat_b 16	absolute_lat_b	lat_cat	adult_barb	juvenile_barb	nestling_diet 4 (unless otherwise noted)	breeding_temp 19	migratein_juvplumage 23	Nstl_DPR 20	adult_sex_numb 21	nestling_sex_numb 22	Museum_numbers 23
Spizella_passerina	Emberizidae	0.666666667	12.3	cup4	10.5 4	43.15278986	43.15278986	high	24.75	16.5	insects_seeds	13.56772721	no	0.02469	"2M, 2F"	"3M, 1?"	"CUMV 23620, 29243, 21343, 30180; AMNH 106060, 403436, 403431, 783830"
Sturnella_magna	Icteridae	0.75348697	89	noncavity4	11 4	26.35690034	26.35690034	high	17.9167	13.5	insects	20.66	no	NA	"1M, 1F"	"1M, 1F"	"CUMV 34052, 17381, 47891, 17345"
Sturnella_militaris	Icteridae	0.68	49.55	noncavity2	NA	1.21496799	1.21496799	low	25	17	NA	26.01	aresident	NA	"1M, 1F"	"1F, 1F?"	"AMNH 460652, 427215, 247217, 247218"
Sturnella_neglecta	Icteridae	0.790316361	100.7	noncavity4	11 4	41.8099436	41.8099436	high	20.4861	16.1905	insects	15.91	no	0.05496	"1M, 1F"	"1M, 1F"	"CUMV 17399, 11672, 17394, 17397"
Sturnus_vulgaris	Sturnidae	0.630550665	82.3	cavity4	21 4	43.26034197	43.26034197	high	28.4583	17.9444	insects	12.52	aresident	NA	"1M, 1F"	"1M, 1F"	"CUMV 15197, 15231, 55708, 48249"
Tachuris_rubrigastra	Tyrannidae	0.681817296	7.2	cup2	NA	-30.65868569	30.65868569	high	25.6667	17.5	insects 2	15.89	NA	NA	"1M, 1F"	1M	"CUMV 50659; AMNH 768891, 113513"
Tachycineta_bicolor	Hirundinidae	0.685483871	20.1	cavity4	20 4	50.13026354	50.13026354	high	31	21.25	insects	12.62	no	0.00478	"1M, 1F"	"1M, 1F"	"CUMV 8762, 22505; AMNH 371163, 371168"
Tachycineta_thalassina	Hirundinidae	0.76	14.15	cavity4	23.5 4	42.90963422	42.90963422	high	25	19	insects	16.41	no	0.00231	"1M, 1F"	"1M, 1F"	"CUMV 9115, 9114; AMNH 56296, 371257"
Tangara_mexicana	Thraupidae	0.591396774	20.9	cup5	NA	-5.542153125	5.542153125	low	31	18.3333	NA	25.66	aresident	NA	"1M, 1F"	2?	"AMNH 513275, 513285,  468721, 468722"
Tangara_palmeri	Thraupidae	0.714285714	32.3	cup5	NA	5.002238842	5.002238842	low	28	20	NA	24.88	aresident	NA	"1M, 1F"	1?	"AMNH 136298, 136299, 136300"
Tangara_ruficervix	Thraupidae	0.648148148	19	cup5	NA	-4.991968872	4.991968872	low	27	17.5	NA	NA	aresident	NA	"1M, 1F"	2?	"AMNH 108566, 112978, 118278, 118277"
Thamnophilus_atrinucha	Thamnophilidae	0.827586207	22.5 2	cup5	10 5	7.812383453	7.812383453	low	14.5	12	insects 5	25.65	aresident	0.067	"1M, 1F"	"1M, 1F"	"LSU 163574, 163572, 163570, 163571"
Thraupis_episcopus	Thraupidae	0.816001306	35	cup2	17.5 2	1.116881656	1.116881656	low	20.8333	17	NA	25.6	aresident	0.0495	"1M, 1F"	"1M, 1?"	"CUMV 20982, 20972, 30881; AMNH 468726"
Thryomanes_bewickii	Troglodytidae	0.691281262	9.9	cavity4	16 4	33.72620165	33.72620165	high	26.7619	18.5	insects	20.29	no	NA	"1M, 1F"	2?	"CUMV 11114, 34862, 22334, 22333"
Thryothorus_ludovicianus	Troglodytidae	0.875	18.7	cavity4	13 4	33.10499584	33.10499584	high	25	21.875	insects	20.04	aresident	0.0102	"1M, 1F"	"1M, 1F"	"CUMV 12285, 12960, 52021, 12980"
Tityra_semifasciata	Tityridae	0.933331429	79.3	cavity2	25 2	-0.621806641	0.621806641	low	17.5	16.3333	invertebrates_fruit 17	25.27	aresident	NA	"1M, 1F"	2F	"CUMV 7314, 7323; LSU 65949; AMNH 282613"
Tolmomyias_poliocephalus	Tyrannidae	1	11.5	noncavity2	NA	-4.277849503	4.277849503	low	14	14	NA	NA	aresident	NA	"1M, 1F"	1?	"LSU 52270, 115954, 115957"
Toxostoma_rufum	Mimidae	0.656145364	68.8	cup4	11.5 4	40.91342654	40.91342654	high	22.399	14.697	insects_fruit	17.85	no	0.03943	"1M, 1F"	"1M, 1F"	"CUMV 13445, 13449, 13447, 36010"
Troglodytes_aedon	Troglodytidae	0.764707958	10.9	cavity4	19 4	38.84074568	38.84074568	high	28.3333	21.6667	insects	19.65	no	0.0038	"1M, 1F"	"1F?, 1?"	"CUMV 12749, 36388, 52963, 21850"
Troglodytes_troglodytes	Troglodytidae	0.989583333	8.9	cavity2	17 2	45.74862338	45.74862338	high	24	23.75	NA	12.16149036	no	0.03074	"1M, 1F"	"1F, 1?"	"AMNH 573930, 573768, 573885, 573809"
Trogon_elegans	Trogonidae	0.753846154	67.3	cavity4	16 4	13.42104733	13.42104733	low	16.25	12.25	insects_fruit	24.83	aresident	NA	"1M, 1F"	"1M, 1F"	"AMNH 81119, 81142, 821490, 81132"
Turdus_albicollis	Turdidae	0.824444901	54.1	cup2	14 2	-7.328894781	7.328894781	low	21.4286	17.6667	NA	24.62	aresident	NA	"1M, 1F"	"1M?, 1F"	"CUMV 50668, 9710, 2534; AMNH 30926"
Turdus_grayi	Turdidae	0.692158612	73.8	cup2	13 2	15.000769	15.000769	low	24.7673	17.1429	invertebrates_fruit 2	25.35	aresident	NA	"1M, 1F"	"1M, 1F"	"CUMV 14003, 14001, 14002; AMNH 648698"
Turdus_migratorius	Turdidae	0.733271345	77.3	cup4	13 4	47.07975015	47.07975015	high	24.5208	17.9804	invertebrates_fruit	13.81104436	no	0.0301	"6M, 6F"	"6M, 1F, 2F?, 4?"	"CUMV 8913, 21236, 23382, 14814, 21746, 35092, 8898, 21839, 36276, 9266, 23381, 30846, 55121, 36003, 36321, 36008, 35854, 36712, 23823, 36007, 36003, 54881, 8854, 55120"
Turdus_serranus	Turdidae	0.80952381	84.5	cup2	16.375 11	-3.665476673	3.665476673	low	21	17	NA	15.99	aresident	0.05405	"1M, 1F"	"1M, 1F"	"AMNH 396249, 784662, 116934, 180617"
Tyrannus_forficatus	Tyrannidae	0.843813185	43.2	cup4	15.4 4	32.91326737	32.91326737	high	22.0089	18.5714	insects	21.72	NA	0.0268	"1M, 1F"	"1M, 1F"	"CUMV 7611, 30688, 30704, 30703"
Tyrannus_melancholicus	Tyrannidae	0.834616669	37.55	cup2	18.5 2	-6.969108225	6.969108225	low	18.5714	15.5	insects_fruit	22.14	yes	NA	"1M, 1F"	"1M, 1?"	"AMNH 390950, 390951, 390952, 496338"
Tyrannus_savana	Tyrannidae	0.769230769	28.6	cup2	15.4 2	-12.39542184	12.39542184	low	26	20	insects 5	22.48	NA	NA	"1M, 1F"	1M	"AMNH 390922, 48229, 390921"
Tyrannus_tyrannus	Tyrannidae	0.728474532	43.6	cup4	16.5 4	44.30027145	44.30027145	high	25.1667	18.3333	insects_fruit	17.21	NA	0.01691	"1M, 1F"	"1M, 1F"	"CUMV 7629, 7636, 7640; AMNH 368888"
Tyrannus_verticalis	Tyrannidae	0.904761905	39.6	cup4	16 4	40.11813029	40.11813029	high	21	19	insects	17.97	yes	NA	"1M, 1F"	"1F, 1?"	"AMNH 57819, 42910, 815666, AMNH number unclear (NRW 401 on tag)"
Tyrannus_vociferans	Tyrannidae	0.8477058	45.6	cup4	16.5 4	30.43686436	30.43686436	high	19.4643	16.5	insects	20.22	NA	NA	"1M, 1F"	2M	"CUMV 11659, 7648; LSU 94691, 94690"
Vermivora_celata	Parulidae	0.608695652	9	noncavity4	12 4	52.38721797	52.38721797	high	23	14	insects	11.00069332	no	0.0315	"1M, 1F"	1?	"AMNH 380268, 380230, 839715"
Vermivora_luciae	Parulidae	0.725806452	6.6	cavity4	11.4 2	33.92310283	33.92310283	high	31	22.5	insects	22.34	yes	NA	"1M, 1F"	1M	"CUMV 23587, 25057; AMNH 27920"
Vireo_flavoviridis	Vireonidae	0.666665	17.9	cup5	13 5	17.95911114	17.95911114	low	20	13.3333	insects 5	26.29	NA	NA	"1M, 1F"	1F	"AMNH 112617, 182893, 144439"
Vireo_gilvus	Vireonidae	0.6875	14.8	cup4	14 4	42.47799115	42.47799115	high	20	13.75	NA	17.03360989	no	0.0216	"1M, 1F"	"1M, 1?"	"AMNH 89270, 396521, 379685, 791643"
Zeledonia_coronata	Parulidae	0.48829808	21	noncavity2	18 2	9.579515745	9.579515745	low	26.1111	12.75	NA	18.01	aresident	NA	"1M, 1F"	2?	"CUMV 14632, 14633; LSU 63657, 63658"
																	
																	
1 Dunning JB Jr. 2007 CRC handbook of avian body masses. London: CRC Press. 																	
"10 Cox WA, Martin TE. 2009 Breeding biology of the three-striped warbler in Venezuela: a contrast between tropical and temperate Parulids. Wilson J. Ornithol. 121, 667-678. "																	
"11 Martin TE. 2015 Age-related mortality explains life history strategies of tropical and temperate songbirds. Science 349, 966Ð970."																	
"12 Skutch AF. 1945 Incubation and nesting periods of Central American birds. Auk 62, 8-37"																	
"14 Werner SM, Hejl SJ, Brush T. 2007 Breeding ecology of the altamira oriole in the lower Rio Grande valley, Texas. Condor 109, 907-919."																	
"15 Skutch AF. 1968 The nesting of some Venezuelan birds. Condor 70, 66-82."																	
16 BirdLife International and NatureServe. 2015 Bird species distribution maps of the world. Version 5.0. 																	
"17 Skutch AF. 1954-1969 Life histories of Central American birds. Vols. I, II, III. Pacific Coast Avifauna, Cooper Ornithological Society: Berkeley, CA, "																	
"18 Skutch AF. 1967 Life histories of Central American highland birds. Nuttall Ornithological Club, Cambridge, MA."																	
"19 New M, Lister D, Hulme M, Makin I. 2002 A high-resolution data set of surface climate over global land areas. Clim. Res. 21, 1Ð25. "																	
"2 del Hoyo J, Elliott A, Sargatal J, Christie DA. (eds.) Handbook of the birds of the world. Lynx Edicions, Barcelona."																	
20 TEM unpublished data																	
"21 ""M?"" and ""F?"" denote suspected (but not gonadally confirmed) sex according to specimen tag."																	
"21 Male (M), Female (F) with sample sizes for each sex beside letters"																	
"22 CUMV (Cornell University Museum of Vertebrates), LSU (Louisiana State University Natural History Museum), AMNH (American Museum of Natural History)"																	
"3 Western Foundation of Vertebrate Zoology specimens: 40825, 40826, 40827, 40832"																	
"4 Rodewald P. (Ed.) 2015 The Birds of North America: https://birdsna.org. Cornell Laboratory of Ornithology, Ithaca, NY."																	
"5 Schulenberg TS. (Ed.) 2016 Neotropical Birds Online: http://neotropical.birds.cornell.edu. Cornell Lab of Ornithology, Ithaca, NY"																	
"6 Harrap S, Quinn D. 1996 Chickadees, tits, nuthatches, and treecreepers. Princeton University Press: Princeton, NJ"																	
"7 Iqbal M. 2011 First breeding record of white-crowned forktail Enicurus leschenaulti in Sumatra. Kukila 15, 100-102"																	
"8 Kirwan GM, Green G. 2011 Cotingas and manakins. Princeton University Press: Princeton, NJ"																	
"9 Curson J, Quinn D, Beadle D. 1994 Warblers of the Americas. Boston, NY Houghton Mifflin Company; Dunn J, Garrett K. 1997 A field guide to warblers of North America. Boston, New York: Houghton Mifflin Company"																	
23 Pyle 1997																	
